test_file,precision@3,precision@5,precision@10,average_precision
liver_47.nii.gz,0.3333333333333333,0.4,0.2,0.08333333333333333
lung_069.nii.gz,1.0,1.0,1.0,1.0
liver_119.nii.gz,0.0,0.0,0.1,0.01
lung_004.nii.gz,1.0,1.0,1.0,1.0
lung_093.nii.gz,1.0,1.0,1.0,1.0
liver_87.nii.gz,0.6666666666666666,0.4,0.3,0.1595238095238095
liver_67.nii.gz,0.0,0.0,0.0,0.0
liver_63.nii.gz,0.6666666666666666,0.4,0.6,0.4155555555555555
liver_29.nii.gz,0.6666666666666666,0.4,0.5,0.32222222222222224
liver_61.nii.gz,0.6666666666666666,0.4,0.5,0.26666666666666666
liver_79.nii.gz,0.3333333333333333,0.4,0.7,0.4563095238095237
liver_85.nii.gz,1.0,1.0,0.9,0.8521031746031745
liver_111.nii.gz,0.6666666666666666,0.4,0.4,0.19416666666666665
liver_50.nii.gz,0.6666666666666666,0.4,0.5,0.26666666666666666
liver_16.nii.gz,0.6666666666666666,0.6,0.4,0.3044444444444444
liver_93.nii.gz,0.3333333333333333,0.2,0.5,0.21527777777777776
liver_100.nii.gz,0.3333333333333333,0.2,0.2,0.07222222222222222
liver_117.nii.gz,0.3333333333333333,0.4,0.5,0.22194444444444442
liver_97.nii.gz,0.3333333333333333,0.6,0.3,0.16
